date,adjclose,close,high,low,open,volume,daily_return,price_change,price_range,volume_change,ma_5,ma_10
2018-01-03,5.25,5.31,5.34,5.09,5.1,914704000,,0.21,0.25,,5.31,5.31
2018-01-04,5.28,5.34,5.45,5.32,5.39,583268000,0.0053,-0.05,0.13,-0.3623,5.33,5.33
2018-01-05,5.33,5.39,5.42,5.28,5.35,580124000,0.0085,0.03,0.15,-0.0054,5.35,5.35
2018-01-08,5.49,5.55,5.63,5.46,5.51,881216000,0.0306,0.04,0.16,0.519,5.4,5.4
2018-01-09,5.49,5.55,5.6,5.47,5.56,497000000,-0.0003,-0.01,0.13,-0.436,5.43,5.43
2018-01-10,5.53,5.59,5.6,5.4,5.45,582664000,0.0078,0.14,0.2,0.1724,5.48,5.45
2018-01-11,5.54,5.6,5.66,5.58,5.63,406032000,0.0018,-0.02,0.08,-0.3031,5.54,5.48
2018-01-12,5.51,5.57,5.62,5.53,5.59,359916000,-0.0049,-0.02,0.09,-0.1136,5.57,5.49
2018-01-16,5.44,5.5,5.69,5.42,5.6,702348000,-0.0129,-0.1,0.27,0.9514,5.56,5.49
2018-01-17,5.56,5.62,5.63,5.42,5.52,538408000,0.0209,0.1,0.21,-0.2334,5.58,5.5
2018-01-18,5.55,5.61,5.67,5.57,5.6,408632000,-0.0012,0.01,0.1,-0.241,5.58,5.53
2018-01-19,5.69,5.75,5.78,5.68,5.7,609380000,0.0253,0.05,0.1,0.4913,5.61,5.57
2018-01-22,5.78,5.84,5.84,5.7,5.76,550944000,0.0156,0.08,0.14,-0.0959,5.67,5.62
2018-01-23,5.91,5.97,6,5.88,5.9,475228000,0.0223,0.08,0.12,-0.1374,5.76,5.66
2018-01-24,5.83,5.89,6.01,5.84,5.98,579972000,-0.013,-0.08,0.17,0.2204,5.81,5.7
2018-01-25,5.84,5.91,5.99,5.89,5.95,409884000,0.0023,-0.04,0.1,-0.2933,5.87,5.73
2018-01-26,6.02,6.08,6.08,5.94,5.95,516356000,0.0295,0.13,0.14,0.2598,5.94,5.78
2018-01-29,6.1,6.17,6.2,6.02,6.07,455116000,0.0145,0.1,0.19,-0.1186,6.01,5.84
2018-01-30,6,6.07,6.16,5.96,6.03,570832000,-0.0167,0.04,0.2,0.2543,6.03,5.89
2018-01-31,6.08,6.14,6.23,6.11,6.14,478576000,0.0127,0,0.12,-0.1616,6.08,5.94
2018-02-01,5.95,6.01,6.17,5.95,5.96,519224000,-0.0216,0.05,0.22,0.0849,6.1,5.99
2018-02-02,5.77,5.84,5.95,5.78,5.93,718464000,-0.029,-0.09,0.17,0.3837,6.05,5.99
2018-02-05,5.28,5.34,5.83,5.13,5.68,1165204000,-0.0849,-0.33,0.71,0.6218,5.88,5.94
2018-02-06,5.58,5.64,5.64,5.1,5.11,1114800000,0.0556,0.53,0.54,-0.0433,5.8,5.91
2018-02-07,5.66,5.72,5.87,5.67,5.74,802932000,0.0143,-0.02,0.21,-0.2798,5.71,5.89
2018-02-08,5.38,5.44,5.88,5.44,5.85,1144000000,-0.0493,-0.41,0.44,0.4248,5.6,5.85
2018-02-09,5.74,5.8,5.97,5.44,5.96,1674604000,0.0669,-0.15,0.53,0.4638,5.59,5.82
2018-02-12,5.64,5.7,5.89,5.63,5.88,1093172000,-0.0175,-0.18,0.26,-0.3472,5.66,5.77
2018-02-13,5.75,5.82,5.86,5.63,5.66,625524000,0.0202,0.15,0.23,-0.4278,5.7,5.75
2018-02-14,5.97,6.04,6.06,5.76,5.78,744988000,0.0378,0.26,0.3,0.191,5.76,5.73
2018-02-15,6.1,6.16,6.21,6.04,6.12,698900000,0.021,0.04,0.17,-0.0619,5.9,5.75
2018-02-16,6.03,6.1,6.25,6.09,6.14,637656000,-0.0108,-0.04,0.16,-0.0876,5.96,5.78
2018-02-20,6.16,6.23,6.3,6.11,6.12,686240000,0.0215,0.11,0.18,0.0762,6.07,5.86
2018-02-21,5.97,6.04,6.3,6.03,6.29,892292000,-0.0304,-0.25,0.27,0.3003,6.11,5.9
2018-02-22,5.99,6.05,6.14,5.99,6.07,534364000,0.0027,-0.01,0.15,-0.4011,6.12,5.94
2018-02-23,6.09,6.15,6.15,6.06,6.11,415300000,0.0156,0.03,0.09,-0.2228,6.11,6.01
2018-02-26,6.1,6.16,6.2,6.1,6.2,469312000,0.0026,-0.03,0.1,0.1301,6.13,6.04
2018-02-27,6.09,6.15,6.22,6.13,6.14,455436000,-0.0021,0.01,0.09,-0.0296,6.11,6.09
2018-02-28,5.99,6.05,6.2,6.04,6.16,523116000,-0.0165,-0.11,0.16,0.1486,6.11,6.11
2018-03-01,5.75,5.81,6.1,5.7,6.05,1040120000,-0.0405,-0.24,0.4,0.9883,6.06,6.09
2018-03-02,5.85,5.91,5.92,5.55,5.7,913428000,0.0186,0.22,0.37,-0.1218,6.02,6.06
2018-03-05,5.83,5.89,5.93,5.74,5.86,620776000,-0.0038,0.03,0.19,-0.3204,5.96,6.04
2018-03-06,5.99,6.05,6.07,5.93,5.98,636808000,0.0276,0.08,0.14,0.0258,5.94,6.03
2018-03-07,5.98,6.05,6.1,5.95,5.95,581208000,-0.0013,0.1,0.15,-0.0873,5.94,6.03
2018-03-08,5.97,6.03,6.07,5.98,6.07,411912000,-0.0027,-0.04,0.09,-0.2913,5.99,6.03
2018-03-09,6.07,6.13,6.15,6.06,6.08,505524000,0.0172,0.06,0.08,0.2273,6.03,6.02
2018-03-12,6.18,6.24,6.32,6.17,6.18,605060000,0.0181,0.07,0.16,0.1969,6.1,6.03
2018-03-13,6.13,6.19,6.36,6.15,6.29,619772000,-0.0082,-0.09,0.21,0.0243,6.13,6.04
2018-03-14,6.16,6.22,6.26,6.16,6.24,505496000,0.0042,-0.02,0.11,-0.1844,6.16,6.05
2018-03-15,6.17,6.23,6.32,6.19,6.23,401952000,0.0024,0,0.12,-0.2048,6.2,6.1
2018-03-16,6.2,6.26,6.28,6.21,6.25,399456000,0.0046,0.01,0.07,-0.0062,6.23,6.13
2018-03-19,5.96,6.03,6.23,5.93,6.2,713772000,-0.0378,-0.18,0.31,0.7869,6.19,6.14
2018-03-20,6.18,6.24,6.28,6.03,6.03,554696000,0.0356,0.21,0.25,-0.2229,6.2,6.16
2018-03-21,6.15,6.21,6.3,6.18,6.23,438688000,-0.0041,-0.02,0.12,-0.2091,6.19,6.18
2018-03-22,5.98,6.05,6.2,6.01,6.15,551196000,-0.027,-0.1,0.19,0.2565,6.16,6.18
2018-03-23,5.76,5.82,6.06,5.81,6.06,735620000,-0.0367,-0.24,0.25,0.3346,6.07,6.15
2018-03-26,6.05,6.11,6.11,5.9,5.95,611424000,0.0494,0.16,0.22,-0.1688,6.09,6.14
2018-03-27,5.58,5.64,6.25,5.5,6.19,1409000000,-0.0776,-0.56,0.75,1.3045,5.97,6.08
2018-03-28,5.48,5.53,5.73,5.43,5.6,945904000,-0.0185,-0.07,0.31,-0.3287,5.83,6.01
2018-03-29,5.73,5.79,5.89,5.52,5.6,916628000,0.0463,0.19,0.37,-0.031,5.78,5.97
